location,year,age,gender,value
Middle SDI,2004,50-69,female,390.8778475579616
Middle SDI,2005,50-69,female,374.70284736559927
Middle SDI,2006,50-69,female,357.06080191356955
Middle SDI,2007,50-69,female,343.69731117909515
Middle SDI,2008,50-69,female,335.0146450287877
Middle SDI,2009,50-69,female,327.6367613848619
Middle SDI,2010,50-69,female,321.33242712237563
Middle SDI,2011,50-69,female,315.8915957565375
Middle SDI,2012,50-69,female,310.2951093057418
Middle SDI,2013,50-69,female,303.3872624733621
Middle SDI,2014,50-69,female,297.34178299922246
Middle SDI,2015,50-69,female,295.4386235575668
Middle SDI,2016,50-69,female,293.88159224923106
Middle SDI,2017,50-69,female,290.9476733757782
Middle SDI,2018,50-69,female,291.6215148351418
Middle SDI,2019,50-69,female,289.3206392957359
Middle SDI,2020,50-69,female,287.04260394160207
Middle SDI,2021,50-69,female,284.7629506882647
High-middle SDI,1990,50-69,female,460.2303273373308
High-middle SDI,1991,50-69,female,465.1388883366508
High-middle SDI,1992,50-69,female,477.1291335453474
High-middle SDI,1993,50-69,female,514.9761366965307
High-middle SDI,1994,50-69,female,535.2430258408745
High-middle SDI,1995,50-69,female,526.5917902020784
High-middle SDI,1996,50-69,female,506.8991244474197
High-middle SDI,1997,50-69,female,484.5162621704477
High-middle SDI,1998,50-69,female,464.9393521843878
High-middle SDI,1999,50-69,female,464.4067368062872
High-middle SDI,2000,50-69,female,458.2529827332246
High-middle SDI,2001,50-69,female,449.37719782336734
High-middle SDI,2002,50-69,female,445.9693798157138
High-middle SDI,2003,50-69,female,442.476570984328
High-middle SDI,2004,50-69,female,428.15470296968647
High-middle SDI,2005,50-69,female,420.2595685670632
High-middle SDI,2006,50-69,female,384.9315639770663
High-middle SDI,2007,50-69,female,358.91354812648075
High-middle SDI,2008,50-69,female,339.44393483596235
High-middle SDI,2009,50-69,female,316.4065273155492
High-middle SDI,2010,50-69,female,301.1628612686109
High-middle SDI,2011,50-69,female,283.42210977833633
High-middle SDI,2012,50-69,female,270.88686017369184
High-middle SDI,2013,50-69,female,261.0868885934354
High-middle SDI,2014,50-69,female,255.438883564032
High-middle SDI,2015,50-69,female,251.23491420659815
High-middle SDI,2016,50-69,female,247.05190823357145
High-middle SDI,2017,50-69,female,239.50552549292576
High-middle SDI,2018,50-69,female,238.21473926069336
High-middle SDI,2019,50-69,female,233.59456604294505
High-middle SDI,2020,50-69,female,228.43686700561892
